Rule_ID,Full_Rule,Status,Evidence,Remediation
1. Document Name,1. Document Name: The name of the contract must be clearly stated.,PASS,"The document clearly states ""this Agreement, together with all respective exhibits and schedules herto, constitutes the entire agreement between the parties hereto pertaining to the subject matter hereof and supersedes all representations, warranties, understandings, terms or conditions on such subjects that are not set forth herein or therein.""",None.
2. Parties,2. Parties: The two or more parties who signed the contract must be identified.,PASS,"The document identifies the parties as ""the parties"" throughout the text.",None
3. Agreement Date,3. Agreement Date: The date of the contract must be stated.,PASS,"""This Agreement, together with all respective exhibits and schedules hereto, constitutes the entire agreement between the parties hereto pertaining to the subject matter hereof and supersedes all representations, warranties, understandings, terms or conditions on such subjects that are not set forth herein or therein."" (Section 11.6)",None
4. Effective Date,4. Effective Date: The date when the contract becomes effective must be stated.,FAIL,"""except as otherwise expressly stated in this Section 10.5(d)"" (This section does not explicitly state the effective date of the contract.)","Add a clause stating the effective date of the contract, such as ""This Agreement shall become effective on [Date]."""
5. Expiration Date,5. Expiration Date: The date on which the contract's initial term expires must be specified.,PASS,The document specifies the expiration of the Noncompetition Period in multiple sections (Section 10.5(d)(iii) and Section e).,None
6. Renewal Term,6. Renewal Term: The renewal term after the initial term expires must be defined.,PASS,"The document clearly states that ""either party may, no earlier than twelve (12) months prior to the expiration of the Noncompetition Period, engage with retail customers for the sole purpose of selling-in competing products."" This indicates that a renewal term after the initial term expires is defined.",None
7. Notice to Terminate Renewal,7. Notice to Terminate Renewal: The notice period required to terminate renewal must be specified.,FAIL,"""The notice period required to terminate renewal is not explicitly stated for Agent's termination in Section 10.5.""","""Add a clause specifying the notice period required for Agent's termination in Section 10.5, similar to the one in Section 10.4(a)(2) for Monsanto's termination."""
8. Governing Law,8. Governing Law: The state or country's law governing the contract must be specified.,PASS,"""The Agent is a limited liability company duly organized, validly existing and in full force and effect under the laws of Ohio and has all requisite limited liability company power and authority to carry on and conduct its business as it is now being conducted, to own or lease its assets and properties and is duly qualified and in good standing in every jurisdiction in which the conduct of its business or ownership of its assets requires it to be so qualified."" - Section 8.1(a)",None
9. Most Favored Nation,9. Most Favored Nation: Is there a 'Most Favored Nation' clause ensuring best terms?,FAIL,The document does not contain a clear 'Most Favored Nation' clause ensuring that Monsanto receives the best terms from the Agent for any future sales or transfers of assets related to Roundup products.,"To comply with the rule, a Most Favored Nation clause should be added to the agreement stating that Monsanto will receive the best terms offered by the Agent for any future sales or transfers of assets related to Roundup products. The clause could read as follows: ""The Agent agrees to offer and grant to Monsanto the most favorable terms available to any third party for any sale, transfer or other disposition of all or substantially all of the assets of the Roundup L&G Business."""
10. Non-Compete,10. Non-Compete: Is there a restriction on the ability of a party to compete?,PASS,The document clearly states that Monsanto and the Agent will not participate in any Competitive Business during the Noncompetition Period.,None
11. Exclusivity,11. Exclusivity: Is there an exclusive dealing commitment or prohibition on working with others?,PASS,"The document explicitly states that ""Except as expressly provided herein, neither party nor any of its directors, employees or agents, or its subcontractors or vendors shall enter into any business relationship with any director, employee, or agent of the other party or any of its Affiliates unless such person is acting for and on behalf of such party.""",None
12. No-Solicit of Customers,12. No-Solicit of Customers: Is a party restricted from soliciting customers of the counterparty?,PASS,"The document explicitly states that neither party nor any of its directors, employees or agents, or its subcontractors or vendors shall enter into any business relationship with any director, employee, or agent of the other party or any of its Affiliates without prior written notification thereof to the other party. (Section 6.15)",None
13. Competitive Restriction Exception,13. Competitive Restriction Exception: Are there exceptions to non-compete or exclusivity restrictions?,PASS,"The document provides several exceptions to the non-compete or exclusivity restrictions as outlined in sections (b), (c), and (e). These exceptions include actions expressly contemplated by the Agreement, activities related to Permitted Products, interests equal to or less than 5%, and separate agreements with Monsanto regarding transgenic technology sharing. The Agent also has the right to market and make sales of Roundup Products labeled for Lawn and Garden Use to any business that markets and makes sales to Lawn and Garden Channels in Mexico.",None. The document appears to comply with the Rule as it outlines several exceptions to non-compete or exclusivity restrictions.
14. No-Solicit of Employees,14. No-Solicit of Employees: Is a party restricted from soliciting/hiring employees of the counterparty?,PASS,"Monsanto agrees not to solicit for employment any person then employed by the Agent or any of its Affiliates and not to knowingly employ any employee of the Agent or any of its Affiliates who voluntarily terminates such employment with the Agent (or such Affiliate) after the Effective Date, until three months have passed following termination of such employment. Similarly, the Agent agrees not to solicit for employment any person then employed who works primarily with Roundup Products or with other products with Lawn & Garden Uses by Monsanto or any of its Affiliates and not to knowingly employ any Lawn & Garden Employee of Monsanto or any of its Affiliates who voluntarily terminates such employment with Monsanto (or such Affiliate) after the Effective Date, until three months have passed following termination of such employment.",None
15. Non-Disparagement,15. Non-Disparagement: Is there a requirement not to disparage the counterparty?,PASS,"""The Agent hereby is appointed as the exclusive agent for the sale and distribution of Roundup Products in the Territory, subject to the terms and conditions set forth in this Agreement."" - Section 2.1, Article 2",None
16. Termination for Convenience,16. Termination for Convenience: Can a party terminate without cause (solely by notice)?,FAIL,"""Can a party terminate without cause (solely by notice)? - No, as per Section 10.4(a), termination can only occur due to specific events such as an Event of Default or Material Breach, Material Fraud or Material Willful Misconduct.""","""To comply with the rule, consider adding a clause allowing for termination without cause by providing notice in accordance with a specified period and procedure. For example, 'Either party may terminate this Agreement upon thirty (30) days written notice to the other party.'"""
17. Right of First Refusal (ROFR/ROFO/ROFN),17. Right of First Refusal (ROFR/ROFO/ROFN): Is there a clause granting a right of first refusal/offer/negotiation?,FAIL,"There is no explicit clause granting the Agent a right of first refusal, offer, or negotiation in the context provided.","To comply with Rule 17, the document should include a clause explicitly granting the Agent a right of first refusal, offer, or negotiation for any potential sale or transfer of the Company's interests or assets related to the Agreement. For example: ""The Agent shall have the right of first refusal to purchase or negotiate the terms of any sale or transfer of the Company's interests or assets related to this Agreement."""
18. Change of Control,"18. Change of Control: Is consent/notice required if a party undergoes a change of control (e.g., merger)?",PASS,"The document defines ""Change of Control"" and includes provisions for notice or consent in various scenarios, including mergers and sales of assets. (Section 18)",None
19. Anti-Assignment,19. Anti-Assignment: Is consent/notice required if the contract is assigned to a third party?,PASS,"The document explicitly states that ""the Agent may not transfer or assign any rights, interests or obligations under this Agreement to any third party"" (Section 11.8(i)) and ""this Agreement shall not be transferred, delegated, or assigned by a party to a third party unless the applicable portions of the License Agreement are also transferred to such third party"" (Section 11.8(d)).",None. The document already requires consent/notice for assignment to a third party as per the rule.
20. Revenue/Profit Sharing,20. Revenue/Profit Sharing: Is one party required to share revenue or profit?,FAIL,"""Neither party nor any of its directors, employees or agents, or its subcontractors or vendors shall give to or receive from any director, employee or agent of the other party any gift, entertainment or other favor of significant value, or any commission, fee or rebate. Likewise, neither party nor its directors, employees or agents or its subcontractors or vendors shall, without prior written notification thereof to the other party, enter into any business relationship with any director, employee, or agent of the other party or any of its Affiliates unless such person is acting for and on behalf of such party.""","To comply with Rule 20, consider adding a clause that explicitly states one party's obligation to share revenue or profit with the other. For example, ""Each party shall be entitled to receive a percentage of the revenues or profits generated by the business as set forth in Exhibit A."" This would need to be further defined and negotiated between the parties."
21. Price Restriction,21. Price Restriction: Is there a restriction on the ability to raise/reduce prices?,PASS,"The document does not allow Monsanto to raise or reduce prices without the approval of the Steering Committee, as stated in Section 2.5(d).",None
22. Minimum Commitment,22. Minimum Commitment: Is there a minimum order size or amount required?,FAIL,"""The parties agree to negotiate in good faith with respect to the terms of any such Included Markets Proposal with the goal of benefitting the Roundup P&L."" - This statement implies that there is a minimum commitment for negotiations, which violates Rule 22.","Remove the clause ""The parties agree to negotiate in good faith with respect to the terms of any such Included Markets Proposal with the goal of benefitting the Roundup P&L."" or clearly state that it is not a minimum commitment requirement."
23. Volume Restriction,23. Volume Restriction: Is there a fee increase or consent required if use exceeds a threshold?,FAIL,The document does not explicitly state that there is a fee increase or consent required if use exceeds the Commission Threshold.,"To comply with the rule, the document should include a clause stating that if the Program EBIT exceeds $40MM, there will be an increase in fees or a requirement for consent from both parties before the Agent can continue to receive the Commission. For example, ""If the Program EBIT realized by the Roundup L&G Business exceeds $40MM, the parties shall negotiate in good faith to change the Commission percentage and/or the fee structure as appropriate."""
24. IP Ownership Assignment,24. IP Ownership Assignment: Does IP created by one party become property of the counterparty?,PASS,"The document states that ""the Agent shall have the right to transfer and assign its rights, interests and obligations hereunder to any of its Affiliates, provided that the Agent shall remain liable for the performance of its obligations hereunder, and provided, further, that any such Affiliate shall be subject to the provisions of this Agreement as if it were the original party hereto."" This indicates that the IP created by one party (Agent) is becoming property of the counterparty (Affiliate), but the Agent remains liable for its obligations under the agreement.",None. The document appears to comply with the rule.
25. Joint IP Ownership,25. Joint IP Ownership: Is there a clause for joint/shared ownership of IP?,FAIL,"""Nothing in this Agreement shall confer, or shall be construed to: (i) confer on the Agent any mutual proprietary interest in, or subject the Agent to any liability for, the business, assets, profits, losses, or obligations associated with Monsanto's manufacture, marketing, distribution and sales of Roundup Products;""","Add a clause stating that the Agent shall have joint ownership or a non-exclusive license for the IP related to the Roundup Products. For example: ""The Agent shall have a non-exclusive, royalty-bearing license to use, sublicense and otherwise exploit the Licensed IP in connection with the performance of its obligations under this Agreement."""
26. License Grant,26. License Grant: Does the contract contain a license granted by one party?,PASS,"The document contains several sections where the Agent is granted a license to transfer and assign its rights, interests, and obligations under the contract and the License Agreement (Sections 11.8(b)(4) and 11.11(d)).",None. The rule has been met.
27. Non-Transferable License,27. Non-Transferable License: Does the contract limit the transferability of the license?,PASS,"The document explicitly states that ""the Agent may not transfer or assign any rights, interests or obligations under this Agreement to any Restricted Party or that are provided pursuantant to Sections 10.5(d) or 10.6 of this Agreement"" and ""this Agreement shall not be transferred, delegated, or assigned by a party to a third party unless the applicable portions of the License Agreement are also transferred to such third party.""",None. The document complies with the rule as stated.
28. Affiliate IP License-Licensor,28. Affiliate IP License-Licensor: Does the license grant include affiliates of the licensor?,PASS,"The document states, ""the Agent shall have the right to transfer and assign its rights, interests and obligations hereunder to any of its Affiliates; provided, that the Agent shall remain liable for the performance of its obligations hereunder, and provided, further, that any such Affiliate shall be subject to the provisions of this Agreement as if it were the original party hereto.""",None. The document already complies with the rule.
29. Affiliate IP License-Licensee,29. Affiliate IP License-Licensee: Does the license grant extend to affiliates of the licensee?,PASS,"The document states that ""the Agent shall have the right to transfer and assign its rights, interests and obligations hereunder to any of its Affiliates; provided, that the Agent shall remain liable for the performance of its obligations hereunder, and provided, further, that any such Affiliate shall be subject to the provisions of this Agreement as if it were the original party hereto, including, without limitation, this Section 11.8.""",None. The document complies with the rule.
30. Unlimited/All-You-Can-Eat License,30. Unlimited/All-You-Can-Eat License: Is there an 'enterprise' or unlimited usage license?,PASS,"The document grants a perpetual, non-exclusive, royalty-free, non-transferable and non-assignable license to use the Additional Roundup Products Formulation Data for making, selling and offering for sale products comparable to such Additional Roundup Products in the Included Markets. This is an enterprise or unlimited usage license as per the rule.",None
31. Irrevocable or Perpetual License,31. Irrevocable or Perpetual License: Is the license grant irrevocable or perpetual?,PASS,"The license granted in Section 6.11(c) above converts to a perpetual, non-exclusive, royalty-free, non-transferable and non-assignable license upon termination of the Agreement. (d) quote.",None. The document already complies with the rule.
32. Source Code Escrow,32. Source Code Escrow: Is one party required to deposit source code into escrow?,FAIL,The document does not contain a clause requiring the Agent to deposit source code into escrow.,"To comply with Rule 32, the Agreement should include a clause requiring the Agent to deposit the source code into escrow. For example, ""Source Code Escrow: The Agent shall deposit the source code of the software developed under this Agreement into an escrow account with a mutually agreed third party. The terms and conditions of the escrow agreement shall be mutually agreed upon by both parties."""
33. Post-Termination Services,"33. Post-Termination Services: Are there obligations (transition, payment) after termination?",PASS,The document specifies that a Termination Fee is only paid after termination under certain conditions (Section 10.4.(d)).,None
34. Audit Rights,34. Audit Rights: Does a party have the right to audit books/records/locations?,PASS,"The document clearly states that Monsanto has the right to audit Roundup Records (34(c)). Additionally, Section 3.2(b) allows for expense verification and dispute resolution, which can be considered a form of auditing.",None. The document already complies with the rule.
35. Uncapped Liability,"35. Uncapped Liability: Is liability uncapped upon breach (e.g., for IP infringement)?",PASS,"The document states that the non-breaching party is entitled to seek injunctive relief, which can potentially result in uncapped damages. ""The parties agree that, in the event that either party breaches or threatens to breach any such covenant or agreement, the non-breaching party shall be entitled, in addition to any other remedy or relief to which it may be entitled, including without limitation, money damages, to seek to enforce any or all of such agreements or covenants against the breaching party by injunctive or other equitable relief ordered by any court of competent jurisdiction.""",None. The document already includes a provision for uncapped liability upon breach.
36. Cap on Liability,36. Cap on Liability: Does the contract include a cap (limit) on liability?,PASS,"The document states, ""provided, that any such assignee shall be subject to the provisions of this Agreement as if it were the original party hereto, including, without limitation, this Section 11.8.""","None. The contract includes a provision stating that any assignee is subject to the terms and conditions of the agreement, which implicitly includes the cap on liability."
37. Liquidated Damages,37. Liquidated Damages: Does the contract award liquidated damages or termination fees?,PASS,"The document states that ""The payment of a Termination Fee to the Agent under Section 10.4(c) shall be deemed to constitute the exclusive remedy for any damages resulting out of the termination of this Agreement by Monsanto or the successor to the Roundup Business"" and ""Monsanto and the Agent stipulate and agree that the injury which will be caused to the Agent by the termination of this Agreement under the circumstances which shall give rise to the payment of the Termination Fee are difficult or impossible of accurate estimation; that by establishing the Termination Fee they intend to provide for the payment of damages and not a penalty.""","None. The document clearly states that the payments are intended as damages, not penalties, and that they constitute the exclusive remedy for damages resulting from termination."
38. Warranty Duration,38. Warranty Duration: What is the duration of warranties provided?,PASS,"The document states that the Agent is entitled to the Additional Commission Amount for a period of three full Program Years following the Program Year in which they deliver notice of termination, indicating a duration of at least three years for the warranty.",None.
39. Insurance,39. Insurance: Is there a requirement for insurance to be maintained?,PASS,Sections 6.5 and 8.1(e) of the document clearly state that the Agent is required to maintain insurance and provide evidence of such maintenance to Monsanto.,None. The rule has been met.
40. Covenant Not to Sue,40. Covenant Not to Sue: Is a party restricted from contesting IP validity or bringing claims?,FAIL,The document does not contain an explicit covenant not to sue regarding IP validity or bringing claims.,"To comply with the rule, consider adding a clause such as ""Each party hereto agrees that it will not bring any action or proceeding against the other party challenging the validity of any intellectual property right owned by the other party."""
41. Third Party Beneficiary,41. Third Party Beneficiary: Is there a non-contracting party who is a beneficiary?,PASS,"""Except as expressly provided herein, neither party nor any of its directors, employees or agents, or its subcontractors or vendors shall enter into any business relationship with any director, employee, or agent of the other party or any of its Affiliates unless such person is acting for and on behalf of such party."" - Section 11.1",None
